Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,"Still life with fruits, nuts, bread, two wine glasses and a knife, vintage artwork by Osias Beert, Poster Print","<div style=""text-align: left;""><strong>• A high-quality reproduction of a famous historic artwork.</strong></div><div style=""text-align: left;""><strong></strong></div><div style=""text-align: left;""><strong></strong></div><div style=""text-align: left;""><strong>Ready to hang or display, perfect for home, office, gift. Choose your desired size and whether you want it come in a frame  or the print only.</strong></div><div style=""text-align: left;""></div><div style=""text-align: left;""><strong data-mce-fragment=""1"">Order a print only, or a framed print.</strong><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Print only dimensions:</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A5: 15 x 18cm or 5.9 x 7.1 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A4: 21 x 30cm or 8.3 x11.7 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A3: 42 x 30cm or 16.5 x 11.7 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A2: 42.0 x 59.cm or 16.53 x 23.39 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A1: 59.4 x 84cm or 23.39 x 33.11 inches.<br data-mce-fragment=""1""></strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Framed Print, Exterior Frame dimensions:</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A5: 18 x 24cm or 7x10 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A4: 24 x 33cm or 10x13 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A3: 33 x 45cm or 13x17 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A2: 45 x 62cm or 17x24 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A1: 62 x 87cm or 24x36 inches</strong><br><br><img src=""https://cdn.shopify.com/s/files/1/2376/0573/files/A1-A4COMPARISON3_480x480.jpg?v=1653296542"" alt="""" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/2376/0573/files/A1-A4COMPARISON3_480x480.jpg?v=1653296542""><br><br><strong>• Poster prints: Professionally &amp; sympathetically created to show off their original vibrant colours</strong><br><br><strong>• Poster prints: Made with specialized 230 gsm poster paper which has been optimized for traditional images. Canon Lucia pigment ink which gives bright, vibrant images which when stored under the right condition will not fade for 200 years. The Poster prints have a small white border/margin around the edge of the paper, to preserve the entire original image.</strong><br><br><strong>• Frames: Stylish, modern High quality Fiberboard and British made with a black or white wood effect. Frames are ready to hang with built in hooks in the back. A4 and A5 frames have a retractable back flap and so can also stand on a flat surface.</strong><br><br><strong>• Frames: Glazing - 2 mm cast acrylic with optical clarity ensures your artwork is displayed at its best. Potential damage from sunlight is greatly reduced by UV protection. It's also much safer than glass in your home or workplace and being 100% recyclable, it's great for the environment too.</strong><br> <br><strong>• All items dispatched day of ordering or next working day and should be with you in 2-3 days in the UK, 1-2 weeks for international orders. (Excluding weekends &amp; bank holidays etc) </strong><br><br><strong>• Posters are sent in a tube or a hardback envelope. Framed Pictures are sent bubble wrapped in a hard box.</strong><br><br><strong>• Bullet Proof, No Quibble guarantee! You can return anything we send you up to 60 days after you receive it. In the unlikely event you are not completely satisfied we will give you a full refund and send you a label to return the package. If you have any issues, kindly contact us first and we will do everything to solve any problem to your satisfaction.</strong><br></div>",Period Prints,,Poster,Poster,TRUE,Title,A5,Frame Options,Print in Black Frame,,,skuarttA4106059,0,,continue,manual,12.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_6f9524da-cd3d-4080-b5d4-bbf6ed9a893f.jpg?v=1578629123,1,"Still life with fruits, nuts, bread, two wine glasses and a knife, vintage artwork by Osias Beert, Poster Print",FALSE,,,500044,,,,,,new,,,,,,,,lb,,12.99,active
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A5,,Print in White Frame,,,,,,continue,manual,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A5,,PRINT ONLY,,,,,,continue,manual,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A4,,Print in Black Frame,,,,,,continue,manual,22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A4,,Print in White Frame,,,,,,continue,manual,22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A4,,PRINT ONLY,,,,,,continue,manual,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A3,,Print in Black Frame,,,,,,continue,manual,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A3,,Print in White Frame,,,,,,continue,manual,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A3,,PRINT ONLY,,,,,,continue,manual,22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A2,,Print in Black Frame,,,,,,continue,manual,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A2,,Print in White Frame,,,,,,continue,manual,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A2,,PRINT ONLY,,,,,,continue,manual,34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A1,,Print in Black Frame,,,,,,continue,manual,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A1,,Print in White Frame,,,,,,continue,manual,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-fruits-nuts-bread-two-wine-glasses-and-a-knife-vintage-artwork-by-osias-beert-12x8-a4-poster,,,,,,,,,A1,,PRINT ONLY,,,,,,continue,manual,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,"Still life with flowers in a wicker basket and bunch of flowers in a porcelain vase, vintage artwork by Osias Beert, Poster Print","<div style=""text-align: left;""><strong>• A high-quality reproduction of a famous historic artwork.</strong></div><div style=""text-align: left;""><strong></strong></div><div style=""text-align: left;""><strong></strong></div><div style=""text-align: left;""><strong>Ready to hang or display, perfect for home, office, gift. Choose your desired size and whether you want it come in a frame  or the print only.</strong></div><div style=""text-align: left;""></div><div style=""text-align: left;""><strong data-mce-fragment=""1"">Order a print only, or a framed print.</strong><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Print only dimensions:</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A5: 15 x 18cm or 5.9 x 7.1 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A4: 21 x 30cm or 8.3 x11.7 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A3: 42 x 30cm or 16.5 x 11.7 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A2: 42.0 x 59.cm or 16.53 x 23.39 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A1: 59.4 x 84cm or 23.39 x 33.11 inches.<br data-mce-fragment=""1""></strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Framed Print, Exterior Frame dimensions:</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A5: 18 x 24cm or 7x10 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A4: 24 x 33cm or 10x13 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A3: 33 x 45cm or 13x17 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A2: 45 x 62cm or 17x24 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A1: 62 x 87cm or 24x36 inches</strong><br><br><img src=""https://cdn.shopify.com/s/files/1/2376/0573/files/A1-A4COMPARISON3_480x480.jpg?v=1653296542"" alt="""" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/2376/0573/files/A1-A4COMPARISON3_480x480.jpg?v=1653296542""><br><br><strong>• Poster prints: Professionally &amp; sympathetically created to show off their original vibrant colours</strong><br><br><strong>• Poster prints: Made with specialized 230 gsm poster paper which has been optimized for traditional images. Canon Lucia pigment ink which gives bright, vibrant images which when stored under the right condition will not fade for 200 years. The Poster prints have a small white border/margin around the edge of the paper, to preserve the entire original image.</strong><br><br><strong>• Frames: Stylish, modern High quality Fiberboard and British made with a black or white wood effect. Frames are ready to hang with built in hooks in the back. A4 and A5 frames have a retractable back flap and so can also stand on a flat surface.</strong><br><br><strong>• Frames: Glazing - 2 mm cast acrylic with optical clarity ensures your artwork is displayed at its best. Potential damage from sunlight is greatly reduced by UV protection. It's also much safer than glass in your home or workplace and being 100% recyclable, it's great for the environment too.</strong><br> <br><strong>• All items dispatched day of ordering or next working day and should be with you in 2-3 days in the UK, 1-2 weeks for international orders. (Excluding weekends &amp; bank holidays etc) </strong><br><br><strong>• Posters are sent in a tube or a hardback envelope. Framed Pictures are sent bubble wrapped in a hard box.</strong><br><br><strong>• Bullet Proof, No Quibble guarantee! You can return anything we send you up to 60 days after you receive it. In the unlikely event you are not completely satisfied we will give you a full refund and send you a label to return the package. If you have any issues, kindly contact us first and we will do everything to solve any problem to your satisfaction.</strong><br></div>",Period Prints,,Poster,Poster,TRUE,Title,A5,Frame Options,Print in Black Frame,,,skuarttA4106058,0,,continue,manual,12.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_65fc5ca9-9468-4e30-aad8-f6ef5909bd21.jpg?v=1578629123,1,"Still life with flowers in a wicker basket and bunch of flowers in a porcelain vase, vintage artwork by Osias Beert, Poster Print",FALSE,,,500044,,,,,,new,,,,,,,,lb,,12.99,active
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A5,,Print in White Frame,,,,,,continue,manual,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A5,,PRINT ONLY,,,,,,continue,manual,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A4,,Print in Black Frame,,,,,,continue,manual,22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A4,,Print in White Frame,,,,,,continue,manual,22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A4,,PRINT ONLY,,,,,,continue,manual,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A3,,Print in Black Frame,,,,,,continue,manual,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A3,,Print in White Frame,,,,,,continue,manual,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A3,,PRINT ONLY,,,,,,continue,manual,22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A2,,Print in Black Frame,,,,,,continue,manual,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A2,,Print in White Frame,,,,,,continue,manual,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A2,,PRINT ONLY,,,,,,continue,manual,34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A1,,Print in Black Frame,,,,,,continue,manual,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A1,,Print in White Frame,,,,,,continue,manual,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
still-life-with-flowers-in-a-wicker-basket-and-bunch-of-flowers-in-a-porcelain-vase-vintage-artwork-by-osias-beert-12x8-a4-post,,,,,,,,,A1,,PRINT ONLY,,,,,,continue,manual,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,"Madonna and Child adored by  St Lawrence and St Martha, vintage artwork by Maarten Pepyn, Poster Print","<div style=""text-align: left;""><strong>• A high-quality reproduction of a famous historic artwork.</strong></div><div style=""text-align: left;""><strong></strong></div><div style=""text-align: left;""><strong></strong></div><div style=""text-align: left;""><strong>Ready to hang or display, perfect for home, office, gift. Choose your desired size and whether you want it come in a frame  or the print only.</strong></div><div style=""text-align: left;""></div><div style=""text-align: left;""><strong data-mce-fragment=""1"">Order a print only, or a framed print.</strong><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Print only dimensions:</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A5: 15 x 18cm or 5.9 x 7.1 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A4: 21 x 30cm or 8.3 x11.7 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A3: 42 x 30cm or 16.5 x 11.7 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A2: 42.0 x 59.cm or 16.53 x 23.39 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A1: 59.4 x 84cm or 23.39 x 33.11 inches.<br data-mce-fragment=""1""></strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Framed Print, Exterior Frame dimensions:</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A5: 18 x 24cm or 7x10 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A4: 24 x 33cm or 10x13 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A3: 33 x 45cm or 13x17 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A2: 45 x 62cm or 17x24 inches</strong><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">A1: 62 x 87cm or 24x36 inches</strong><br><br><img src=""https://cdn.shopify.com/s/files/1/2376/0573/files/A1-A4COMPARISON3_480x480.jpg?v=1653296542"" alt="""" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/2376/0573/files/A1-A4COMPARISON3_480x480.jpg?v=1653296542""><br><br><strong>• Poster prints: Professionally &amp; sympathetically created to show off their original vibrant colours</strong><br><br><strong>• Poster prints: Made with specialized 230 gsm poster paper which has been optimized for traditional images. Canon Lucia pigment ink which gives bright, vibrant images which when stored under the right condition will not fade for 200 years. The Poster prints have a small white border/margin around the edge of the paper, to preserve the entire original image.</strong><br><br><strong>• Frames: Stylish, modern High quality Fiberboard and British made with a black or white wood effect. Frames are ready to hang with built in hooks in the back. A4 and A5 frames have a retractable back flap and so can also stand on a flat surface.</strong><br><br><strong>• Frames: Glazing - 2 mm cast acrylic with optical clarity ensures your artwork is displayed at its best. Potential damage from sunlight is greatly reduced by UV protection. It's also much safer than glass in your home or workplace and being 100% recyclable, it's great for the environment too.</strong><br> <br><strong>• All items dispatched day of ordering or next working day and should be with you in 2-3 days in the UK, 1-2 weeks for international orders. (Excluding weekends &amp; bank holidays etc) </strong><br><br><strong>• Posters are sent in a tube or a hardback envelope. Framed Pictures are sent bubble wrapped in a hard box.</strong><br><br><strong>• Bullet Proof, No Quibble guarantee! You can return anything we send you up to 60 days after you receive it. In the unlikely event you are not completely satisfied we will give you a full refund and send you a label to return the package. If you have any issues, kindly contact us first and we will do everything to solve any problem to your satisfaction.</strong><br></div>",Period Prints,,Poster,Poster,TRUE,Title,A5,Frame Options,Print in Black Frame,,,skuarttA4106057,0,,continue,manual,12.99,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/2376/0573/products/display_image_34a42377-1e8b-45e4-bd5f-e95530ddd81e.jpg?v=1578629123,1,"Madonna and Child adored by  St Lawrence and St Martha, vintage artwork by Maarten Pepyn, Poster Print",FALSE,,,500044,,,,,,new,,,,,,,,lb,,12.99,active
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A5,,Print in White Frame,,,,,,continue,manual,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A5,,PRINT ONLY,,,,,,continue,manual,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A4,,Print in Black Frame,,,,,,continue,manual,22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A4,,Print in White Frame,,,,,,continue,manual,22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A4,,PRINT ONLY,,,,,,continue,manual,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A3,,Print in Black Frame,,,,,,continue,manual,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A3,,Print in White Frame,,,,,,continue,manual,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A3,,PRINT ONLY,,,,,,continue,manual,22.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A2,,Print in Black Frame,,,,,,continue,manual,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A2,,Print in White Frame,,,,,,continue,manual,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A2,,PRINT ONLY,,,,,,continue,manual,34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A1,,Print in Black Frame,,,,,,continue,manual,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A1,,Print in White Frame,,,,,,continue,manual,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna-and-child-adored-by-st-lawrence-and-st-martha-vintage-artwork-by-maarten-pepyn-12x8-a4-poster,,,,,,,,,A1,,PRINT ONLY,,,,,,continue,manual,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
